Transaccion Num,Fecha y Hora,Cod Prod,Tipo Venta,Cantidad,Ciudad,Categoría,Subcategoría
628048,2026-01-01 07:16:19.980,TVSA-81183,Online,1,TOK,TVS,TVSA
628049,2026-01-01 14:26:35.179,ELEB-19207,Online,1,NAO,ELE,ELEB
628050,2026-01-01 15:02:29.410,GFTB-25314,Online,2,OSA,GFT,GFTB
628051,2026-01-01 17:50:14.190,VALC-33154,Online,3,YOK,VAL,VALC
628052,2026-01-01 23:41:38.892,TVSB-75678,Tienda,1,TOK,TVS,TVSB
628053,2026-01-02 10:00:41.196,HINC-68874,Online,2,OSA,HIN,HINC
628054,2026-01-02 21:27:38.853,VALB-40560,Online,1,TOK,VAL,VALB
628055,2026-01-03 08:18:49.464,AUDC-38249,Online,1,TOK,AUD,AUDC
628056,2026-01-03 09:15:28.849,JUGB-42100,Online,1,TOK,JUG,JUGB
628057,2026-01-03 14:19:12.706,TREC-68039,Tienda,1,YOK,TRE,TREC
628058,2026-01-04 01:10:03.435,PMUF-26187,Tienda,3,TOK,PMU,PMUF
628059,2026-01-04 12:50:53.867,PMUB-81384,Online,1,TOK,PMU,PMUB
628060,2026-01-04 19:39:12.365,PCTA-94053,Online,2,OSA,PCT,PCTA
628061,2026-01-05 07:23:12.655,SALC-35708,Online,1,TOK,SAL,SALC
628062,2026-01-05 18:20:16.419,TVSE-39365,Online,2,CHI,TVS,TVSE
628063,2026-01-05 21:14:17.593,TVSF-97412,Online,1,OSA,TVS,TVSF
628064,2026-01-05 21:49:23.152,JUGB-54689,Online,1,OSA,JUG,JUGB
628065,2026-01-06 05:54:21.050,TVSG-42564,Online,1,TOK,TVS,TVSG
628066,2026-01-06 06:27:55.271,ELEF-82487,Online,1,OSA,ELE,ELEF
628067,2026-01-06 16:21:46.565,HINB-61066,Online,3,TOK,HIN,HINB
628068,2026-01-06 17:36:26.922,CAMF-87569,Online,1,KAW,CAM,CAMF
628069,2026-01-06 17:38:56.792,AUDD-51870,Online,2,YOK,AUD,AUDD
628070,2026-01-06 18:07:30.448,VALC-33154,Tienda,1,TOK,VAL,VALC
628071,2026-01-06 19:13:25.674,TVSE-98433,Online,2,OSA,TVS,TVSE
628072,2026-01-07 04:25:01.477,TREA-92263,Online,1,TOK,TRE,TREA
628073,2026-01-07 08:57:46.783,TCLA-81111,Online,1,KYO,TCL,TCLA
628074,2026-01-07 15:36:01.457,HOGA-98849,Online,1,HIR,HOG,HOGA
628075,2026-01-08 01:02:46.297,PCTD-90095,Online,3,TOK,PCT,PCTD
628076,2026-01-08 01:30:22.065,TCLC-70860,Online,1,TOK,TCL,TCLC
628077,2026-01-08 04:47:24.093,ELEE-79787,Online,1,OSA,ELE,ELEE
628078,2026-01-08 05:09:35.574,HOGB-23676,Online,3,TOK,HOG,HOGB
628079,2026-01-08 13:53:05.067,EAGA-51758,Online,1,OKA,EAG,EAGA
628080,2026-01-08 20:00:12.248,TREA-16083,Online,1,OSA,TRE,TREA
