Transaccion Num,Fecha y Hora,Cod Prod,Tipo Venta,Cantidad,Ciudad,Categoría,Subcategoría,origen
626565,2025-01-01 04:32:33.997,HOGA-90043,Online,3,NAO,HOG,HOGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626566,2025-01-01 06:33:16.054,AUDD-31740,Tienda,1,OSA,AUD,AUDD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626567,2025-01-01 07:35:27.697,VJGA-17330,Online,1,TOK,VJG,VJGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626568,2025-01-01 17:00:43.511,AUDD-77460,Online,3,TOK,AUD,AUDD,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626569,2025-01-01 22:24:38.965,ELEH-70263,Online,1,NAO,ELE,ELEH,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626570,2025-01-02 05:28:31.643,VJGC-20413,Online,1,KYO,VJG,VJGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626571,2025-01-02 06:35:55.186,JUGB-18137,Online,1,TOK,JUG,JUGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626572,2025-01-02 11:33:39.511,TVSC-95263,Online,1,TOK,TVS,TVSC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626573,2025-01-02 18:13:53.163,VALC-66861,Online,1,OSA,VAL,VALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626574,2025-01-02 22:47:51.349,SALC-82294,Tienda,2,TOK,SAL,SALC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626575,2025-01-02 23:11:17.374,TCLC-55666,Online,1,YOK,TCL,TCLC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626576,2025-01-03 05:12:06.545,SVSA-57564,Online,1,TOK,SVS,SVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626577,2025-01-03 10:43:54.821,CAMG-10217,Online,3,YOK,CAM,CAMG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626578,2025-01-03 17:28:13.844,VJGC-22284,Online,1,TOK,VJG,VJGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626579,2025-01-03 17:29:20.039,PMUA-42938,Online,1,OSA,PMU,PMUA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626580,2025-01-03 22:59:18.321,AUDA-46953,Online,1,TOK,AUD,AUDA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626581,2025-01-04 03:39:27.650,PMUF-96262,Online,1,KYO,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626582,2025-01-04 13:09:05.573,JUGC-46673,Tienda,1,TOK,JUG,JUGC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626583,2025-01-05 00:39:40.508,HINB-81416,Online,1,NAO,HIN,HINB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626584,2025-01-05 08:05:40.282,AUDA-46953,Online,1,TOK,AUD,AUDA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626585,2025-01-05 16:39:14.861,TVSK-49740,Online,1,TOK,TVS,TVSK,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626586,2025-01-05 23:00:32.965,ELED-48374,Online,2,TOK,ELE,ELED,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626587,2025-01-06 00:02:40.189,PCTE-68553,Online,1,NAO,PCT,PCTE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626588,2025-01-06 09:50:19.741,TCLA-28159,Tienda,1,OSA,TCL,TCLA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626589,2025-01-06 20:35:09.262,TVSB-25580,Online,1,TOK,TVS,TVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626590,2025-01-07 01:38:33.367,EAGA-34753,Online,1,OSA,EAG,EAGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626591,2025-01-07 02:03:17.095,JUGB-88309,Online,1,OSA,JUG,JUGB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626592,2025-01-07 07:06:54.709,JUGA-79838,Online,1,TOK,JUG,JUGA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626593,2025-01-07 08:59:06.810,AUDC-86094,Online,1,OSA,AUD,AUDC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626594,2025-01-07 14:43:14.786,TREA-95262,Online,1,TOK,TRE,TREA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626595,2025-01-08 02:01:40.420,PMUE-65102,Online,1,KYO,PMU,PMUE,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626596,2025-01-08 11:41:28.293,TVSB-98079,Tienda,1,OSA,TVS,TVSB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626597,2025-01-08 15:19:27.795,HIND-23105,Online,1,YOK,HIN,HIND,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626598,2025-01-08 23:20:21.565,TVSC-31110,Online,1,TOK,TVS,TVSC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626599,2025-01-09 01:10:11.043,AUDG-29794,Online,1,OSA,AUD,AUDG,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626600,2025-01-09 06:37:42.450,SALA-26965,Online,1,TOK,SAL,SALA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626601,2025-01-09 07:37:32.921,SVSA-29587,Online,1,TOK,SVS,SVSA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626602,2025-01-09 16:05:37.098,TVSC-48439,Online,1,OSA,TVS,TVSC,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626603,2025-01-10 00:39:12.189,PMUF-20641,Online,3,NAO,PMU,PMUF,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626604,2025-01-10 10:26:05.623,TREA-19376,Tienda,2,SAP,TRE,TREA,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
626605,2025-01-10 19:45:54.341,SALB-68587,Online,2,TOK,SAL,SALB,Combinar+Datos+(Datos+Ventas+ElectroMas+2025).xlsx
