Transaccion Num,Fecha y Hora,Cod Prod,Tipo Venta,Cantidad,Ciudad,Categoría,Subcategoría
625112,2024-01-01 10:02:06.000,TCLB-94347,Online,1,TOK,TCL,TCLB
625113,2024-01-01 11:14:46.361,TREC-68039,Online,1,SAI,TRE,TREC
625114,2024-01-01 17:07:00.114,TREA-19376,Online,1,NAO,TRE,TREA
625115,2024-01-01 19:50:24.115,ELEG-97121,Online,1,YOK,ELE,ELEG
625116,2024-01-02 04:53:30.207,TCLB-73973,Tienda,1,FUK,TCL,TCLB
625117,2024-01-02 04:56:15.113,VALC-30993,Online,1,TOK,VAL,VALC
625118,2024-01-02 06:23:39.321,CAME-19012,Online,1,TOK,CAM,CAME
625119,2024-01-02 15:40:34.788,TVSC-15871,Tienda,1,TOK,TVS,TVSC
625120,2024-01-02 19:28:25.081,CAMF-35067,Online,1,OKA,CAM,CAMF
625121,2024-01-03 04:10:22.624,PMUA-18768,Online,2,KAW,PMU,PMUA
625122,2024-01-03 11:02:48.222,TREB-96123,Online,1,TOK,TRE,TREB
625123,2024-01-03 12:16:19.184,EAGC-73517,Online,1,TOK,EAG,EAGC
625124,2024-01-03 21:48:50.550,GFTB-28763,Online,2,HIR,GFT,GFTB
625125,2024-01-03 23:16:54.887,AUDA-30254,Online,1,TOK,AUD,AUDA
625126,2024-01-04 06:03:01.491,PMUD-13214,Online,1,NAO,PMU,PMUD
625127,2024-01-04 13:36:48.535,AUDD-31740,Online,1,OKA,AUD,AUDD
625128,2024-01-05 01:25:46.912,JUGC-88258,Online,1,NAO,JUG,JUGC
625129,2024-01-05 02:35:48.362,ELEG-97121,Online,1,OKA,ELE,ELEG
625130,2024-01-05 10:46:56.146,JUGA-19374,Online,3,TOK,JUG,JUGA
625131,2024-01-05 19:53:29.699,HIND-78250,Online,1,OSA,HIN,HIND
625132,2024-01-06 01:29:32.156,TREA-12574,Online,3,OSA,TRE,TREA
625133,2024-01-06 12:53:45.842,HOGA-90043,Online,1,TOK,HOG,HOGA
625134,2024-01-06 13:28:32.942,SALA-16568,Online,1,OSA,SAL,SALA
